Program,Week,Day,Order,Exercise,Sets,Reps,Tempo,Rest,RPE,Instruction
Functional Body Composition v2,1,1,1,Leg Press,4,10-12,3-1-1-0,120s,6,"Knees track over toes, full depth, no bouncing at the bottom. 2 ramp-up sets first."
Functional Body Composition v2,1,1,2,Dumbbell Bench Press,4,8-10,3-1-1-0,90s,6,Pin shoulder blades back and down. Slow controlled descent to chest level.
Functional Body Composition v2,1,1,3,Smith Machine Split Squat,3,10/leg,3-1-1-0,90s,6,"Upright torso, front knee stable over ankle. Alternate legs each set."
Functional Body Composition v2,1,1,4,Cable Chest Fly,3,12-15,3-1-1-0,60s,6,"Squeeze chest at the top, slight bend in elbows. Don't let shoulders roll forward."
Functional Body Composition v2,1,1,5,Hanging Knee Raise,3,12-15,2-1-1-0,60s,6,"Control the swing. Curl pelvis up, don't just lift knees. Slow negative."
Functional Body Composition v2,1,2,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,1,2,2,Air Bike Sprints,3,20 kcal ALL OUT,N/A,240s,10,ALL OUT sprints. 3 sets x 20 kcal. Rest 3-5 min between sets. This is maximum effort.
Functional Body Composition v2,1,3,1,Romanian Deadlift,4,8,3-1-1-0,120s,6,"Hips back, neutral spine, feel hamstring stretch. Bar stays close to legs. 2 ramp-up sets first."
Functional Body Composition v2,1,3,2,Lat Pulldown,4,10,3-1-1-0,90s,6,"Pull elbows to ribs, chest tall. Full stretch at the top, squeeze at the bottom."
Functional Body Composition v2,1,3,3,Seated Row Machine,3,12,3-1-1-0,90s,6,"Chest against pad, pull to lower chest. Squeeze shoulder blades together."
Functional Body Composition v2,1,3,4,Cable Face Pulls,3,15,2-2-1-0,60s,6,"Pull to forehead level, externally rotate at the end. Shoulder health focus."
Functional Body Composition v2,1,3,5,Plank Hold,3,45s,N/A,60s,6,"Brace core tight, neutral spine. Squeeze glutes. Don't let hips sag or pike."
Functional Body Composition v2,1,4,1,Cardio Warmup,1,5 min,N/A,,4,"5 min easy pace, then 3x20 sec build-up efforts with 1 min easy between."
Functional Body Composition v2,1,4,2,Steady Tempo Treadmill Run,1,20 min,N/A,,6,"Continuous steady effort for 20 minutes at RPE 6. Consistent pace, no stopping. Build aerobic base."
Functional Body Composition v2,1,5,1,Goblet Squat,4,12,3-1-1-0,90s,6,"Hold dumbbell at chest. Sit between knees, upright torso. Full depth."
Functional Body Composition v2,1,5,2,Incline Dumbbell Press,3,10,3-1-1-0,90s,6,"30-degree incline. Control the descent, full range of motion. Shoulder blades pinned."
