Program,Week,Day,Order,Exercise,Sets,Reps,Tempo,Rest,RPE,Instruction
Hypertrophy A,1.0,1.0,1,Barbell Back Squat,4.0,8,3-1-2-0,120s,7.0,Brace core. Break at hips and knees simultaneously. Aim for parallel or below.
Hypertrophy A,1.0,1.0,2a,Romanian Deadlift,3.0,10,3-1-2-0,0s,7.0,Hinge at hips with soft knees. Feel the stretch in hamstrings. Keep bar close to legs.
Hypertrophy A,1.0,1.0,2b,Walking Lunges,3.0,12,2-0-2-0,90s,7.0,Each leg. Keep torso upright. Control the descent.
Hypertrophy A,1.0,1.0,3a,Leg Press,3.0,12,3-1-1-0,0s,8.0,Feet shoulder width. Do not lock out knees at the top.
Hypertrophy A,1.0,1.0,3b,Leg Curl,3.0,12,3-1-2-0,90s,8.0,Control the negative. Squeeze at the bottom.
Hypertrophy A,1.0,1.0,4,Calf Raises,4.0,15,2-2-2-0,60s,8.0,Full stretch at the bottom. Pause at the top. Slow and controlled.
Hypertrophy A,1.0,2.0,1,Barbell Bench Press,4.0,8,3-1-2-0,120s,7.0,Retract scapula. Feet flat on floor. Touch chest on each rep.
Hypertrophy A,1.0,2.0,2a,Incline Dumbbell Press,3.0,10,3-1-2-0,0s,7.0,30 degree incline. Control the descent. Full range of motion.
Hypertrophy A,1.0,2.0,2b,Cable Fly,3.0,12,3-1-2-0,90s,7.0,Slight bend in elbows. Squeeze at the top. Control the stretch.
Hypertrophy A,1.0,2.0,3a,Overhead Press,3.0,10,2-1-2-0,0s,8.0,Brace core. Press straight overhead. Avoid excessive back arch.
Hypertrophy A,1.0,2.0,3b,Lateral Raise,3.0,15,2-1-2-0,90s,8.0,Lead with elbows. Slight forward lean. Control the negative.
Hypertrophy A,1.0,2.0,4a,Tricep Pushdown,3.0,12,2-1-2-0,0s,8.0,Keep elbows pinned to sides. Squeeze at full extension.
Hypertrophy A,1.0,2.0,4b,Overhead Tricep Extension,3.0,12,3-1-2-0,60s,8.0,Keep elbows close to head. Full stretch at the bottom.
Hypertrophy A,1.0,3.0,REST,Rest Day,0.0,0,,,,Active recovery. Light walking or stretching recommended. Focus on hydration and nutrition.
Hypertrophy A,1.0,4.0,1,Barbell Row,4.0,8,2-1-3-0,120s,7.0,Hinge to 45 degrees. Pull to lower chest. Squeeze shoulder blades together.
Hypertrophy A,1.0,4.0,2a,Lat Pulldown,3.0,10,3-1-2-0,0s,7.0,Wide grip. Pull to upper chest. Control the negative.
Hypertrophy A,1.0,4.0,2b,Seated Cable Row,3.0,12,2-1-3-0,90s,7.0,Close grip. Pull to navel. Keep chest up.
Hypertrophy A,1.0,4.0,3a,Face Pull,3.0,15,2-2-2-0,0s,8.0,Pull to forehead level. Externally rotate at the end. Squeeze rear delts.
Hypertrophy A,1.0,4.0,3b,Reverse Fly,3.0,15,2-1-2-0,60s,8.0,Slight bend in elbows. Squeeze shoulder blades together at the top.
Hypertrophy A,1.0,4.0,4a,Barbell Curl,3.0,10,3-1-2-0,0s,7.0,Keep elbows pinned. Full extension at the bottom. No swinging.
Hypertrophy A,1.0,4.0,4b,Hammer Curl,3.0,12,2-1-2-0,60s,7.0,Neutral grip. Controlled throughout. Squeeze at the top.
Hypertrophy A,1.0,5.0,1a,Dumbbell Bulgarian Split Squat,4.0,10,3-1-2-0,0s,8.0,Each leg. Rear foot elevated. Keep torso upright. Deep stretch at bottom.
Hypertrophy A,1.0,5.0,1b,Hip Thrust,4.0,12,2-2-2-0,90s,8.0,Drive through heels. Squeeze glutes hard at the top. Chin tucked.
Hypertrophy A,1.0,5.0,2a,Leg Extension,3.0,15,2-2-2-0,0s,8.0,Squeeze quads hard at the top. Control the negative.
Hypertrophy A,1.0,5.0,2b,Seated Leg Curl,3.0,15,2-2-2-0,60s,8.0,Full range of motion. Slow eccentric.
Hypertrophy A,1.0,5.0,3a,Single Leg Calf Raise,3.0,15,2-2-2-0,0s,8.0,Full stretch at the bottom. Hold at the top. Each leg.
Hypertrophy A,1.0,5.0,3b,Tibialis Raise,3.0,15,2-1-2-0,60s,7.0,Lean back against wall. Pull toes up. Prehab for shin splints.
Hypertrophy A,1.0,6.0,REST,Rest Day,0.0,0,,,,Full rest day. Foam rolling and mobility work recommended. Prioritize sleep.
Hypertrophy A,1.0,7.0,1,Pull Up,4.0,8,2-1-3-0,120s,7.0,Full dead hang at the bottom. Chin over bar. Control the descent.
Hypertrophy A,1.0,7.0,2a,Dumbbell Shoulder Press,3.0,10,3-1-2-0,0s,7.0,Seated or standing. Full range of motion. Brace core.
